# # TCV-phi cohesive bounce primordial spectrum
# # columns: k  P_R(k)
# # model: cohesive_mix
# # n_s_fit: 0.968751
# # A_s_target: 2.1e-09
1.000000000000000021e-03 8.963475045201514536e-10
1.098541141987558400e-03 1.048824227224181760e-09
1.206792640639328847e-03 1.219480828515931675e-09
1.325711365590109434e-03 1.407135511438320486e-09
1.456348477501244378e-03 1.608873142900582826e-09
1.599858719606057260e-03 1.819479419681230760e-09
1.757510624854791278e-03 2.030915602598870476e-09
1.930697728883249645e-03 2.232009192863190501e-09
2.120950887920190417e-03 2.408642471394747394e-09
2.329951810515372077e-03 2.544826855769792828e-09
2.559547922699535825e-03 2.625090775501248206e-09
2.811768697974231009e-03 2.638454777188847282e-09
3.088843596477481527e-03 2.583731488381294756e-09
3.393221771895329857e-03 2.474795419587319637e-09
3.727593720314937870e-03 2.342889547247781736e-09
4.094915062380423063e-03 2.231728948426338703e-09
4.498432668969444201e-03 2.182024553381859776e-09
4.941713361323833188e-03 2.207770001836851865e-09
5.428675439323859403e-03 2.277926727835168996e-09
5.963623316594642357e-03 2.326783062363280329e-09
6.551285568595508792e-03 2.305291571384263358e-09
7.196856730011521458e-03 2.238864620625966618e-09
7.906043210907700777e-03 2.209995935858513600e-09
8.685113737513520255e-03 2.243420031832791138e-09
9.540954763499944619e-03 2.255262245550933202e-09
1.048113134154685794e-02 2.212070049781048816e-09
1.151395399326446932e-02 2.207835897625489165e-09
1.264855216855295846e-02 2.222530699980586063e-09
1.389495494373137359e-02 2.190697010275552486e-09
1.526417967175233356e-02 2.199932666434965685e-09
1.676832936811007563e-02 2.182117229815168740e-09
1.842069969326715420e-02 2.183230730449786347e-09
2.023589647725156440e-02 2.166435113571646511e-09
2.222996482526194348e-02 2.168100177163421040e-09
2.442053094548651132e-02 2.157130633376798679e-09
2.682695795279724585e-02 2.146202054169813460e-09
2.947051702551809621e-02 2.139907393503423873e-09
3.237457542817643447e-02 2.133586400670694958e-09
3.556480306223128857e-02 2.126075603948959838e-09
3.906939937054614703e-02 2.118026681313651809e-09
4.291934260128776185e-02 2.111269091069726687e-09
4.714866363457392157e-02 2.105589750426251430e-09
5.179474679231210049e-02 2.096649922377653999e-09
5.689866029018295773e-02 2.090994559057366976e-09
6.250551925273969966e-02 2.084171796602450352e-09
6.866488450042998459e-02 2.077626403964693303e-09
7.543120063354614990e-02 2.071753251976086308e-09
8.286427728546842675e-02 2.065682947842099561e-09
9.102981779915217397e-02 2.061249792556150826e-09
1.000000000000000056e-01 2.056897376904294458e-09
