# # TCV-phi : P(k) et transfert fuzzy pour PAPER I
# # colonnes : k[h/Mpc]   P_cdm(k)   P_eff(k)   T2(k)=P_eff/P_cdm
# # Paramètres TCV : {'H0': 67.4, 'ombh2': 0.0224, 'omch2': 0.12, 'As': 2.1e-09, 'ns': 0.964, 'r': 0.0, 'tau': 0.054, 'YHe': 0.245}
# # Fuzzy : kJ=5.0 h/Mpc, n=4, f_coh=1.0
# 
1.000000000000000048e-04 5.919176293521859407e+02 5.919176293521859407e+02 1.000000000000000000e+00
1.028355091999003849e-04 6.080845965604468120e+02 6.080845965604468120e+02 1.000000000000000000e+00
1.057514195240278601e-04 6.246928640922219529e+02 6.246928640922219529e+02 1.000000000000000000e+00
1.087500107536569310e-04 6.417544539018471141e+02 6.417544539018471141e+02 1.000000000000000000e+00
1.118336273134694109e-04 6.592817143348687523e+02 6.592817143348687523e+02 1.000000000000000000e+00
1.150046801045251452e-04 6.772873289464665731e+02 6.772873289464665731e+02 1.000000000000000000e+00
1.182656483892048421e-04 6.957843255565637719e+02 6.957843255565637719e+02 1.000000000000000000e+00
1.216190817296025937e-04 7.147860855480203099e+02 7.147860855480203099e+02 1.000000000000000000e+00
1.250676019808797225e-04 7.343063525191794270e+02 7.343063525191794270e+02 1.000000000000000000e+00
1.286139053411423558e-04 7.543592360154646030e+02 7.543592360154646030e+02 1.000000000000000000e+00
1.322607644594416150e-04 7.749592245158547712e+02 7.749592245158547712e+02 1.000000000000000000e+00
1.360110306035475377e-04 7.961211985393822488e+02 7.961211985393822488e+02 1.000000000000000000e+00
1.398676358891904595e-04 8.178604411882378145e+02 8.178604411882378145e+02 1.000000000000000000e+00
1.438335955725114775e-04 8.401926489562699771e+02 8.401926489562699771e+02 1.000000000000000000e+00
1.479120104075175562e-04 8.631339428247421210e+02 8.631339428247421210e+02 1.000000000000000000e+00
1.521060690703801902e-04 8.867008796528353969e+02 8.867008796528353969e+02 1.000000000000000000e+00
1.564190506524776357e-04 9.109104632731344964e+02 9.109104632731344964e+02 1.000000000000000000e+00
1.608543272241253342e-04 9.357801462818500795e+02 9.357801462818500795e+02 1.000000000000000000e+00
1.654153664710032842e-04 9.613278425281256432e+02 9.613278425281256432e+02 1.000000000000000000e+00
1.701057344053373370e-04 9.875719477436199440e+02 9.875719477436199440e+02 1.000000000000000000e+00
1.749290981539588022e-04 1.014531352642445313e+03 1.014531352642445313e+03 1.000000000000000000e+00
